📊 [1/26] 108.162.198.52（延迟 16ms，带宽 122.61Mbps，评分 100.0）
📊 [2/26] 104.17.125.56（延迟 56ms，带宽 714.74Mbps，评分 95.0）
📊 [3/26] 162.159.61.183（延迟 56ms，带宽 1388.55Mbps，评分 95.0）
📊 [4/26] 104.19.154.200（延迟 56ms，带宽 3962.87Mbps，评分 95.0）
📊 [5/26] 104.17.51.141（延迟 59ms，带宽 4428.38Mbps，评分 95.0）
📊 [6/26] 104.18.47.12（延迟 59ms，带宽 2599.64Mbps，评分 95.0）
📊 [7/26] 172.65.184.39（延迟 59ms，带宽 2486.69Mbps，评分 95.0）
📊 [8/26] 198.41.209.159（延迟 58ms，带宽 2833.22Mbps，评分 95.0）
📊 [9/26] 162.159.140.116（延迟 59ms，带宽 2525.83Mbps，评分 95.0）
📊 [10/26] 104.18.43.115（延迟 65ms，带宽 2860.54Mbps，评分 95.0）
📊 [11/26] 198.41.223.111（延迟 54ms，带宽 3834.98Mbps，评分 95.0）
📊 [12/26] 104.17.225.162（延迟 56ms，带宽 3371.47Mbps，评分 95.0）
📊 [13/26] 162.159.140.85（延迟 56ms，带宽 2096.67Mbps，评分 95.0）
📊 [14/26] 104.18.39.26（延迟 56ms，带宽 3041.08Mbps，评分 95.0）
📊 [15/26] 104.17.97.171（延迟 56ms，带宽 1171.16Mbps，评分 95.0）
📊 [16/26] 104.18.151.172（延迟 58ms，带宽 2997.65Mbps，评分 95.0）
📊 [17/26] 104.18.223.253（延迟 58ms，带宽 1955.32Mbps，评分 95.0）
📊 [18/26] 198.41.208.32（延迟 59ms，带宽 2911.31Mbps，评分 95.0）
📊 [19/26] 104.17.11.223（延迟 59ms，带宽 3656.58Mbps，评分 95.0）
📊 [20/26] 104.17.53.89（延迟 59ms，带宽 3287.31Mbps，评分 95.0）
📊 [21/26] 104.26.5.134（延迟 55ms，带宽 3138.60Mbps，评分 95.0）
📊 [22/26] 172.64.91.69（延迟 55ms，带宽 1731.14Mbps，评分 95.0）
📊 [23/26] 104.26.3.162（延迟 57ms，带宽 3948.73Mbps，评分 95.0）
📊 [24/26] 104.19.220.22（延迟 58ms，带宽 2850.34Mbps，评分 95.0）
📊 [25/26] 172.65.208.161（延迟 57ms，带宽 2945.56Mbps，评分 95.0）
📊 [26/26] 198.41.208.224（延迟 60ms，带宽 1777.92Mbps，评分 95.0）
